,Actual,Predicted
0,2113300.0,2239680.0
1,1500.0,14290.0
2,6613600.0,7114970.0
3,6195000.0,13509050.0
4,3489200.0,3141560.0
5,10700.0,8320.0
6,23300.0,15150.0
7,266200.0,298260.0
8,15800.0,10380.0
9,1495100.0,1318710.0
10,564000.0,315600.0
11,7813700.0,9526450.0
12,3105700.0,3957950.0
13,369700.0,1279400.0
14,2300.0,1800.0
15,11354400.0,12799400.0
16,2600.0,8870.0
17,4015700.0,5063300.0
18,4100.0,6200.0
19,91800.0,104510.0
20,156400.0,241860.0
21,915400.0,78290.0
22,4200.0,960.0
23,5700.0,8070.0
24,520200.0,1595940.0
25,181700.0,189600.0
26,400700.0,178950.0
27,1725000.0,1973190.0
28,9582600.0,11013080.0
29,304800.0,379140.0
30,200.0,2350.0
31,1337600.0,1173370.0
32,201100.0,501430.0
33,2252400.0,2316890.0
34,10698400.0,3420370.0
35,4598200.0,6679370.0
36,100400.0,156400.0
37,1619600.0,1655760.0
38,5543000.0,2913490.0
39,3174600.0,3206060.0
40,352100.0,196570.0
41,900.0,840.0
42,1006700.0,1086340.0
43,0.0,0.0
44,20100.0,4280.0
45,2029000.0,2749080.0
46,0.0,350.0
47,9951100.0,12916180.0
48,2497100.0,1673120.0
49,819600.0,1659670.0
50,485100.0,1386770.0
51,11300.0,11950.0
52,4378000.0,3191420.0
53,5500.0,11030.0
54,1178200.0,2349330.0
55,400.0,25440.0
56,3243700.0,4108500.0
57,1014500.0,863820.0
58,3365900.0,3068290.0
59,1525500.0,1429970.0
60,483300.0,689890.0
61,217300.0,211630.0
62,6380700.0,7235150.0
63,148400.0,142700.0
64,3616900.0,4234580.0
65,1285900.0,1843410.0
66,900.0,1000.0
67,1600.0,1850.0
68,7608200.0,3871690.0
69,19500.0,20080.0
70,4000.0,7170.0
71,75900.0,121110.0
72,6429000.0,7514010.0
73,285800.0,395090.0
74,11931500.0,9854340.0
75,3432700.0,4089250.0
76,1704800.0,1797810.0
77,5300.0,5000.0
78,2293700.0,1992720.0
79,4789000.0,7417460.0
80,288800.0,133760.0
81,1888200.0,1370180.0
82,2332200.0,3326320.0
83,6254600.0,5785530.0
84,2043900.0,2188600.0
85,590200.0,705660.0
86,547500.0,551770.0
87,2191900.0,4376120.0
88,88500.0,96900.0
89,200.0,380.0
90,3982700.0,2063960.0
91,3541700.0,5170470.0
92,119800.0,87430.0
93,49900.0,146140.0
94,292200.0,164310.0
95,8883800.0,7183220.0
96,2754000.0,2945400.0
97,288200.0,562210.0
98,55900.0,58540.0
99,85800.0,75990.0
100,15731900.0,17805530.0
101,87800.0,122270.0
102,115800.0,320760.0
103,12701500.0,16007990.0
104,10392200.0,7633450.0
105,191000.0,206740.0
106,16822000.0,12432830.0
107,5947000.0,5492440.0
108,1108200.0,1493270.0
109,124400.0,123260.0
110,9583400.0,4253060.0
111,348200.0,577260.0
112,1127500.0,443850.0
113,26500.0,32290.0
114,35900.0,133790.0
115,99800.0,90040.0
116,7701700.0,7839570.0
117,2925800.0,1336240.0
118,5144300.0,8518190.0
119,25900.0,37340.0
120,6127700.0,3152880.0
121,76500.0,126040.0
122,1742000.0,1868060.0
123,2438600.0,1850700.0
124,6682100.0,12949730.0
125,880600.0,1295940.0
126,10700.0,18950.0
127,2600500.0,3400730.0
128,265200.0,380830.0
129,154200.0,127060.0
130,2585700.0,3953220.0
131,600.0,2550.0
132,4070800.0,4738070.0
133,7900.0,32320.0
134,300200.0,260380.0
135,34500.0,53800.0
136,2264900.0,4412780.0
137,2020100.0,2096400.0
138,9811600.0,11814430.0
139,561200.0,975840.0
140,3578000.0,2496850.0
141,60500.0,57320.0
142,6863400.0,5187250.0
143,3998800.0,3753720.0
144,10888600.0,11633680.0
145,11212300.0,13864060.0
146,16010100.0,12805140.0
147,10592700.0,4540130.0
148,900.0,2580.0
149,1900.0,3250.0
150,731000.0,573120.0
151,699700.0,353420.0
152,1250100.0,1459650.0
153,552600.0,947880.0
154,597200.0,1261840.0
155,515900.0,164840.0
156,338800.0,612610.0
157,9127000.0,6603100.0
158,3744800.0,3521230.0
159,33200.0,15330.0
160,783300.0,1671170.0
161,6686200.0,5787480.0
162,7106800.0,5498150.0
163,158200.0,415720.0
164,1465600.0,1900840.0
165,718300.0,782100.0
166,247200.0,498170.0
167,7877700.0,7091170.0
168,907700.0,1593910.0
169,976000.0,489960.0
170,1291500.0,1727650.0
171,4461500.0,6003490.0
172,1367200.0,1138760.0
173,21123900.0,14098820.0
174,1131500.0,1631310.0
175,0.0,310.0
176,1206400.0,1700900.0
177,118000.0,336700.0
178,2165900.0,1721370.0
179,96500.0,398710.0
180,3468800.0,3400860.0
181,2006900.0,1938740.0
182,1954800.0,1619540.0
183,4300.0,8100.0
184,4175900.0,3653280.0
185,61900.0,34420.0
186,73900.0,54280.0
187,2152600.0,2836230.0
188,600.0,1320.0
189,213700.0,392520.0
190,4119300.0,3711480.0
191,1659200.0,839080.0
192,1876900.0,1674550.0
193,1500.0,4410.0
194,2157400.0,1810330.0
195,2306400.0,3380360.0
196,7793900.0,9994510.0
197,3010400.0,3329140.0
198,427500.0,1311930.0
199,525400.0,701990.0
200,407500.0,406750.0
201,67900.0,80560.0
202,1289300.0,1494320.0
203,4408200.0,6154780.0
204,10400.0,3240.0
205,5771500.0,5612420.0
206,8096000.0,11883430.0
207,1230500.0,2535200.0
208,4600.0,12610.0
209,19466100.0,15449800.0
210,4382300.0,6945770.0
211,8031200.0,11500770.0
212,13157000.0,5660010.0
213,45699600.0,23975170.0
214,516200.0,1391580.0
215,385500.0,670150.0
216,1563000.0,773910.0
217,2054200.0,2201870.0
218,1441100.0,1815900.0
219,9600.0,13530.0
220,543300.0,770870.0
221,1139800.0,1273140.0
222,169700.0,398180.0
223,11411300.0,8895640.0
224,678100.0,567770.0
225,100.0,3290.0
226,956000.0,1248140.0
227,211700.0,143640.0
228,868500.0,1639540.0
229,2557700.0,2184800.0
230,2310600.0,4407860.0
231,1013300.0,1108940.0
232,1137300.0,3045270.0
233,1183900.0,1178350.0
234,2104500.0,2011130.0
235,200.0,4090.0
236,402700.0,219500.0
237,9600.0,10280.0
238,7900.0,12390.0
239,93800.0,81080.0
240,9069100.0,7957350.0
241,200700.0,210410.0
242,3235900.0,3490680.0
243,2468600.0,2765690.0
244,2158700.0,2722100.0
245,2871300.0,2899440.0
246,4539400.0,4701890.0
247,500.0,1320.0
248,3313900.0,7007040.0
249,2765700.0,2259920.0
250,8322800.0,3698230.0
251,8647800.0,4452320.0
252,4735000.0,2596590.0
253,22700.0,12200.0
254,1098600.0,1142340.0
255,21500.0,23830.0
256,113000.0,315760.0
257,492000.0,418290.0
258,4805300.0,5031940.0
259,2741900.0,1769570.0
260,781100.0,1030140.0
261,12535500.0,14521850.0
262,1936200.0,2159340.0
263,57300.0,41560.0
264,972400.0,1667200.0
265,891000.0,944910.0
266,3500.0,310.0
267,674400.0,907300.0
268,170400.0,859110.0
